Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-27,2.187,1.707,2.19,1.246,2.467,2.414,1.8387577203571432,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,2.003,1.9080000000000001,2.719,1.13,2.2176666666666667,1.26,1.8387577203571432,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,1.7380000000000002,1.627,2.033,1.306,1.6404999999999998,2.225,1.8387577203571432,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,1.0243333333333333,0.158,0.7953333333333333,0.363,1.0995,0.687,1.8387577203571432,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,0.403,0.1235,0.058,0.027,0.072,0.5285,1.8387577203571432,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,1.9,1.11,2.26,0.99,2.34,2.06,2.0806,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,2.29,1.15,2.0,1.21,2.1,1.83,1.9032,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,2.44,1.03,1.66,1.22,2.07,1.94,2.0176,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,1.95,1.16,2.42,1.25,2.36,1.7,1.887,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,1.93,1.35,1.51,1.29,1.91,1.72,1.9607999999999999,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,1.97,1.45,1.92,1.2,2.21,1.81,1.9548000000000003,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,2.58,1.38,2.25,0.95,1.81,1.98,1.6632,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,2.0,1.13,1.84,1.12,1.86,2.17,1.9313,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,2.36,1.28,2.49,0.92,2.44,1.64,1.886,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-09-24,2.4732,1.2074999999999998,1.98,1.3431,2.478,2.0313,1.929735,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,2.39,1.04,2.1,0.96,2.03,1.67,1.5697999999999999,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,1.83,1.05,1.93,1.17,1.83,2.24,1.7920000000000003,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,2.28,1.21,1.6,1.07,2.2,1.86,1.5996000000000001,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,2.1,1.3,1.97,1.05,1.93,1.77,2.0000999999999998,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,2.19,1.06,2.21,1.15,1.9,1.57,1.7898000000000003,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,2.18,1.08,1.58,1.13,2.29,2.16,2.1168,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-03-02,1.7745,1.16,2.5652,1.2,2.1948,1.5979999999999999,1.9436099999999998,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0.0
2021-03-21,1.9107,1.3635000000000002,1.5704,1.3416,1.9291,1.8404,1.9411919999999998,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,2.0291,1.208,2.016,1.32,2.1658,1.9186,2.0329920000000006,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,2.6316,1.4489999999999998,2.43,0.9309999999999999,1.8462,2.0394,1.7297280000000002,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,2.06,1.0621999999999998,1.8216,1.0528000000000002,1.6740000000000002,2.2134,2.085804,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,2.1476,1.1904000000000001,2.7390000000000003,0.8556,2.6839999999999997,1.7548,1.90486,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,2.3736,1.2904,2.2275,0.9594999999999999,1.629,2.0987999999999998,1.812888,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,2.04,1.2204,1.9688,1.1760000000000002,1.7856,1.9747000000000001,2.105117,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-08-30,2.324808,1.0626,1.6236,1.356531,2.65146,2.214117,1.91043765,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,2.1271,1.0816,1.806,0.9792,1.9691,1.7702,1.41282,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,1.6653,0.861,1.544,1.2636,1.5921,1.8144,1.73824,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,1.8696,1.1253,1.312,0.9523,1.76,1.6926,1.327668,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-26,1.974,1.209,1.9503,0.882,1.9686,1.8762,1.720086,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,1.7739,0.8586,2.0553,0.989,1.634,1.5857,1.682412,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,2.071,0.8856,1.3272,1.2317,2.3129,1.944,1.968624,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,2.033,1.0101000000000002,2.1244,0.9207000000000001,2.5506,1.8952000000000002,1.87254,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,1.8527999999999998,1.4175000000000002,1.4647,1.2126000000000001,2.101,1.7027999999999999,1.9411919999999998,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,2.4156,0.9785000000000001,1.6932,1.098,1.9871999999999999,1.843,2.158832,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,2.067,1.2296,2.6136,1.125,2.1712,1.547,1.94361,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,2.6832000000000003,1.3523999999999998,2.205,0.8644999999999999,1.7195000000000003,1.8612000000000002,1.7463600000000001,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,1.8912,1.4645,2.016,1.248,2.1216,1.9186,2.1111840000000006,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,1.8715000000000002,1.5515,1.9968,1.1280000000000001,2.2542,1.7195000000000003,1.8766080000000003,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,1.8,1.1978,1.7112,1.0304000000000002,1.8228,2.3002000000000002,1.854048,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,2.1476,1.2544,2.4153000000000002,0.9016000000000001,2.3912,1.7876,1.84828,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,1.548729,0.90405,1.63664,1.213056,1.45131,1.478112,1.4946816,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,2.6051,1.0296,2.205,0.9984,2.0705999999999998,1.8036,1.679686,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,1.8666,1.1550000000000002,2.1037,1.053,1.8849,2.0384,1.8099200000000002,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,1.6653,0.861,1.52856,1.2636,1.639863,1.886976,1.9120640000000002,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,2.4090000000000003,1.1448,2.1216,1.1844999999999999,2.09,1.5072,1.7361060000000001,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,2.1887999999999996,1.2463,1.4720000000000002,0.9737000000000001,2.0240000000000005,1.7670000000000001,1.7595600000000002,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,1.49877,0.8093400000000001,1.4204800000000002,1.301508,1.7513100000000001,1.796256,1.564416,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,1.853379,1.4316750000000003,1.523288,1.3952639999999998,1.871227,1.8404,2.0188396799999997,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,2.657916,1.4200199999999998,2.3328,0.97755,1.790814,1.998612,1.7297280000000002,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,2.0488,1.4935,1.8623999999999998,1.1400000000000001,2.2321,1.8462,1.8961560000000002,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,1.5986879999999999,0.90405,1.6212000000000002,1.238328,1.5921,1.741824,1.825152,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,2.488068,0.9882850000000002,1.6932,1.13094,1.9275839999999997,1.78771,2.24518528,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,1.9493,1.323,1.4496,1.2771000000000001,1.91,1.7544,2.05884,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,1.97,1.4935,1.9968,1.224,2.3205,1.7738,1.9938960000000003,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,1.720683,0.8929440000000001,2.075853,0.989,1.7157,1.6174140000000001,1.7328843600000001,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,2.2783118399999998,1.083852,1.6398359999999998,1.41079224,2.65146,2.28054051,2.0059595325,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,2.0207450000000002,1.1248639999999999,1.7157000000000002,1.008576,2.067555,1.841008,1.342179,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,1.8322079999999998,1.181565,1.32512,0.990392,1.848,1.6079700000000001,1.2612846000000002,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,1.681953,0.87822,1.60576,1.32678,1.5124950000000001,1.796256,1.7556224,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,2.656368,1.365924,2.27115,0.8472099999999999,1.6679150000000003,1.8053640000000002,1.6939692000000002,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,1.9776,1.0834439999999999,1.766952,1.0317440000000002,1.7409600000000003,2.3240700000000003,2.02322988,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,2.169076,1.2499200000000001,2.6020500000000006,0.881268,2.6571599999999997,1.7021559999999998,1.8286656,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,2.397336,1.316208,2.18295,1.007475,1.64529,2.119788,1.7222436,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
