Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
8/19/19,0.135,0.108,0.062,0.035,0.043,0.06,0.27060837319841263,77,85.5,4.7,3.2,17.5,999.9,93.2,77.5,0.04
8/27/19,0.056,0.068,0.026,0.02,0.042,0.056,0.27060837319841263,77.1,85,5.6,3.2,7.8,999.9,91.4,77,0.12
9/3/19,0.059,0.137,0.034,0.032,0.071,0.057,0.27060837319841263,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
9/18/19,0.073,0.065,0.031,0.026,0.061,0.06,0.27060837319841263,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
10/10/19,0.025,0.068,0.043,0.027,0.024,0.052,0.27060837319841263,71.3,83.7,3.6,2.9,5.8,999.9,89.6,73,0
11/18/19,0.157,0.206,0.033,0.015,0.091,0.215,0.27060837319841263,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0
4/7/20,0.773,0.831,0.079,0.042,0.672,0.614,0.75936,55.8,65.8,6.2,2.5,6.8,12.4,73,57.4,0
4/13/20,0.114,0.093,0.021,0.009,0.049,0.021,0.0588,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0
4/23/20,0.205,0.229,0.056,0.04,0.139,0.058,0.14178,56.2,64.6,6.3,7.4,11.7,16.9,68,61.2,0.01
5/27/20,0.833,0.689,0.139,0.072,0.565,0.493,0.63845,68.4,79.4,6.1,5.5,10.9,16.5,93,73.2,0.38
6/2/20,0.473,0.387,0.064,0.058,0.204,0.176,0.18564,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
6/9/20,0.46,0.402,0.129,0.1,0.235,0.125,0.27495,74.1,78.1,4.8,4.6,13.6,25.3,86,73.4,0.75
6/18/20,0.338,0.304,0.06,0.043,0.146,0.149,0.16498,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
6/29/20,0.089,0.075,0.041,0.044,0.058,0.042,0.06496,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0
7/14/20,0.115,0.083,0.043,0.033,0.061,0.056,0.0549,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0
8/26/20,0.1265,0.0913,0.07104,0.07192,0.0671,0.0616,0.079849,74.2,83.8,6.1,4.2,13.6,21,96.8,75.2,2.15
9/24/20,0.11638,0.097691,0.087,0.089,0.073139,0.064064,0.07387039,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
10/8/20,0.877,0.853,0.112,0.101,0.611,0.441,0.71487,58,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0
10/25/20,0.828,0.989,0.103,0.081,0.534,0.497,0.52332,55,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0
11/13/20,0.5203,0.46053,0.12,0.11,0.22032,0.1408,0.2445552,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0
11/27/20,0.4278,0.3819,0.103,0.08,0.2585,0.1475,0.30503,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0
12/11/20,0.2873,0.29792,0.108,0.093,0.12702,0.15347,0.1371816,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
12/29/20,0.09523,0.07875,0.116,0.098,0.0464,0.0336,0.049184,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50,0
3/2/21,0.9,1.153333333,0.13,0.15,0.306666667,0.25,0.2445552,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0
3/21/21,0.76176,0.91977,0.09991,0.08019,0.51264,0.46221,0.4814544,48.2,58.7,6.6,13.8,17.5,26.6,86,56.1,0
4/13/21,0.473473,0.4513194,0.1176,0.1045,0.2159136,0.137984,0.227436336,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0
4/28/21,0.40641,0.3819,0.09991,0.0768,0.245575,0.146025,0.2928288,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
5/7/21,0.573333333,0.593333333,0.14,0.153333333,0.3,0.325,0.23765,74,84.8,5.8,5,9.7,12.4,93.2,72.5,0
5/18/21,0.496666667,0.466666667,0.13,0.095,0.2,0.333333333,0.2585,77.8,85,6.7,6.8,13.6,25.3,93.2,78.1,0.47
6/9/21,0.264316,0.2800448,0.09936,0.0837,0.1257498,0.1442618,0.126207072,75.5,87.1,6.7,5.3,7.8,12.8,95,76.1,0
6/26/21,0.278681,0.2919616,0.10476,0.09021,0.1244796,0.1488659,0.133066152,78.7,83.3,5.9,4.9,11.7,21,91.4,78.3,0.3
8/30/21,0.70343,0.82269,0.06399,0.03696,0.7728,0.69996,0.8277024,75.9,87.4,6.7,4.4,13.6,18.3,95,74.5,0
9/10/21,0.801,1.11873333,0.1287,0.1665,0.33426667,0.24,0.20787192,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79,0
9/27/21,0.42139097,0.365568714,0.109368,0.11495,0.20511792,0.16144128,0.22061325,76.1,88.5,5.9,3.6,5.8,999.9,98.6,75.6,0
10/7/21,0.509894,0.4651353,0.1128,0.1067,0.231336,0.11264,0.239664096,71,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
10/26/21,0.51084,0.38313,0.06272,0.05742,0.2244,0.1936,0.194922,62.2,76.1,6.7,3.3,7.8,12,84.9,61,0
11/15/21,0.4922,0.35376,0.14448,0.089,0.2303,0.135,0.236457,53,67.5,6.7,3.9,6,10.7,76.6,56.5,0
12/1/21,0.24845704,0.285645696,0.1102896,0.082863,0.116947314,0.170228924,0.129993282,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0
3/30/22,0.867,0.965,0.13,0.109,0.282,0.248,0.236,68,73,6,2.7,5.8,999.9,81.5,60.4,0
4/7/22,0.555,0.72,0.0746,0.0801,0.461,0.333,0.36,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
4/17/22,0.46,0.475,0.0963,0.109,0.208,0.147,0.174,59.4,63.4,6.4,5.8,9.7,999.9,75,59.7,0.06
4/28/22,0.362,0.357,0.0989,0.0719,0.177,0.149,0.224,76.9,83.3,6.7,7,11.7,999.9,91.4,74.3,0.06
5/10/22,0.583,0.545,0.15,0.155,0.308,0.319,0.229,75.9,77.5,5.7,4.8,9.7,999.9,83.1,70.7,0.72
5/16/22,0.407,0.386,0.0971,0.0829,0.176,0.357,0.212,60.2,67.9,6.3,8.2,15.5,999.9,75.9,58.8,0.1
5/23/22,0.209,0.262,0.0948,0.0768,0.123,0.149,0.107,74.9,76.2,4.7,4.7,7.8,999.9,82.8,72,0.06
6/3/22,0.286,0.215,0.102,0.0885,0.0986,0.135,0.102,79.9,83.8,6.6,7.2,17.5,999.9,93.2,77.7,0.38
9/4/22,0.525,0.592,0.0657,0.0276,0.814,0.592,0.648,66.8,86.5,6.7,8.5,15.5,999.9,93.2,74.1,0
9/9/22,0.807,0.826,0.111,0.168,0.265,0.229,0.208,76.4,85.5,6.7,4,9.7,999.9,94.6,74.5,0
9/21/22,0.402,0.388,0.0837,0.0962,0.179,0.154,0.197,74.8,84.6,6.7,4.9,7.8,999.9,93.4,74.1,0
9/28/22,0.39,0.368,0.114,0.112,0.239,0.0841,0.233,74.4,87,6.7,5.3,9.7,999.9,96.8,73.9,0
10/10/22,0.652,0.659,0.0484,0.0393,0.584,0.548,0.626,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0
10/25/22,0.359,0.376,0.127,0.0665,0.24,0.107,0.249,64.7,77.9,6.7,5.4,9.7,999.9,88.7,63.3,0
11/1/22,0.242,0.213,0.0883,0.0835,0.124,0.161,0.131,56.1,76.1,6.7,15.4,23.3,33,82.4,67.5,0.01
4/7/23,0.73437,0.75166,0.10323,0.15456,0.8131,0.67068,0.64428,55.8,70.3,6.7,9.1,15.5,999.9,83.5,60.8,0
4/17/23,0.6682767,0.7065604,0.0980685,0.1452864,0.73179,0.6170256,0.5991804,72.9,82.8,6.2,7.9,13.6,999.9,91.4,66.7,0
4/26/23,0.4232,0.437,0.089559,0.10028,0.395552,0.295818,0.298356,59.3,70.1,6.7,5.4,13.6,999.9,78.8,57.4,0
5/4/23,0.32942,0.33915,0.091977,0.066148,0.34684,0.2241,0.20832,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0
5/11/23,0.614814564,0.63590436,0.08826165,0.13802208,0.6659289,0.58617432,0.563229576,68.7,69.8,4.7,4,7.8,999.9,79.2,68,0.33
5/18/23,0.34028,0.33201,0.08901,0.065429,0.34307,0.23157,0.2016,78.5,84.5,5.3,4.7,21.4,999.9,95.9,74.8,1.54
6/7/23,0.19065,0.20839,0.0504,0.0364,0.1805,0.1501,0.1304376,79.9,81.7,6.4,5.1,9.7,999.9,91.4,76.6,1.68
6/25/23,0.104742,0.08889881,0.0783,0.08277,0.06875066,0.05957952,0.069438167,78,82.5,6.6,6,15.5,23.3,91.4,74.1,0.13
8/16/23,0.75051,0.7847,0.10434,0.15288,0.2491,0.21068,0.19344,79.6,88.6,6.7,4.1,7.8,999.9,95,78.3,0
8/24/23,0.3819,0.35696,0.078678,0.09139,0.17005,0.14322,0.18715,79.2,83.4,6.5,4.7,9.7,999.9,89.6,78.1,0.54
8/31/23,0.26026,0.25025,0.09282,0.08142,0.274712,0.20069,0.225788,73.1,84,6.7,10.8,19.4,999.9,91.4,76.1,0
9/7/23,0.110561,0.08987572,0.03265,0.03455,0.0658251,0.05829824,0.066483351,78,78.5,4,5.8,9.7,999.9,85.3,75.2,6.79
9/17/23,0.6829641,0.714077,0.0980685,0.1437408,0.756183,0.6103188,0.5991804,77.8,85.3,6.7,4,7.8,999.9,95,75,0
9/22/23,0.38088,0.40204,0.08239428,0.0912548,0.36786336,0.2662362,0.2834382,78.2,86.3,5.6,4.5,7.8,999.9,93.2,80.6,99.99
9/27/23,0.3063606,0.3154095,0.08461884,0.06019468,0.3225612,0.20169,0.187488,77.5,87.6,6.7,3.6,7.8,999.9,96.8,76.5,0.14
10/8/23,0.171585,0.1938027,0.045864,0.033852,0.167865,0.139593,0.12391572,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06